AÑO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,P700I,P701$01,P701$02,P701$03,P701$04,P701$05,P701$10,P701$06,P701$07,P701$08,P701$09,P710I,P710$01,P710$02,P710$03,P710$04,P710$05,P710$06,P710$07,P710$08,P710$10,P710$11,P710$12,P710$13,P710$14,P710$15,P710$20,P710$21,P710$28,P710$29,P710$33,P710$34,TICUEST01,FACTOR
2025,07,015085,040,11,010117,4,8,02,0,1,0,0,0,0,0,0,0,0,02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,400.729552933584
2025,07,015086,009,11,010521,4,6,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,400.729552933584
2025,07,015086,016,11,010521,4,6,02,0,0,1,1,0,0,0,0,0,0,02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,400.729552933584
2025,07,015086,023,11,010521,4,6,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,400.729552933584
2025,07,015086,031,11,010521,4,6,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,400.729552933584
2025,07,015086,038,11,010521,4,6,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,400.729552933584
2025,07,015086,045,11,010521,4,6,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,400.729552933584
2025,07,015086,064,11,010521,4,6,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,400.729552933584
2025,07,015094,021,11,010506,4,8,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,400.729552933584
2025,07,015094,023,11,010506,4,8,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2,400.729552933584
2025,07,015094,024,11,010506,4,8,01,1,0,0,0,0,0,0,0,0,0,01,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,2,400.729552933584
2025,07,015094,037,11,010506,4,8,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,400.729552933584
2025,07,015094,043,11,010506,4,8,01,1,0,0,0,0,0,0,0,0,0,01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,400.729552933584
2025,07,015094,044,11,010506,4,8,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,400.729552933584
2025,07,015094,045,11,010506,4,8,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,400.729552933584
